source_number,academic_unit,transition_2026,category_code,category_name,primary_none,primary_one,primary_two,requirement_detail,double_major_none,double_major_one,reference_note,source_note
35,AI빅데이터전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,필수,"자격증, 외국어",,,※ [특이사항] 자격증 및 외국어 면제조건((표준화자격)학과별 자격 지정 현황 참고),
35,AI빅데이터전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,필수,,취업,,선택,,
35,AI빅데이터전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
36,스마트융합보안학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,선택,"논문, 연구보고서, 실기작품발표",,선택,,
36,스마트융합보안학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,"자격증, 외국어, 수상",,선택,,
36,스마트융합보안학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,"취업, 창업, ROTC임관, 인턴, 현장실습(6학점 이상)",,선택,,
36,스마트융합보안학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,선택,"전공연계 비교과 2회 이상, 봉사 30H 이상",,선택,,
37,의료IT융합전공,기존 자격요건 유지,A,"학문 심사(논문, 시험, 작품, 보고서)",,,필수,논문,,필수,,2026학년도 표준화 자격 미실시 : 기존자격_ 졸업논문지정현황표 참고
37,의료IT융합전공,기존 자격요건 유지,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,"자격증, 외국어",,,,
37,의료IT융합전공,기존 자격요건 유지,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,취업,,,,
37,의료IT융합전공,기존 자격요건 유지,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
38,휴먼∙로봇융합전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문(작품),,선택,,
38,휴먼∙로봇융합전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
38,휴먼∙로봇융합전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 창업, ROTC임관",,선택,,
38,휴먼∙로봇융합전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
39,전기공학전공,기존 자격요건 유지,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,,,,2026학년도 표준화 자격 미실시 : 기존자격_ 졸업논문지정현황표 참고
39,전기공학전공,기존 자격요건 유지,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,I&E 자격 제도(외국어 1개& 자격증 1개 이수),,,,
39,전기공학전공,기존 자격요건 유지,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 대학원 진학, ROTC 임관",,,,
39,전기공학전공,기존 자격요건 유지,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
40,화학공학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문,,,,
40,화학공학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,자격증2개 또는 자격증1개+외국어1개,,선택,* 자격증 또는 외국어 1개 취득,
40,화학공학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,취업,,선택,,
40,화학공학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
41,건축공학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,필수,논문,,필수,,
41,건축공학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,자격증,,,,
41,건축공학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,"취업, 창업, 대학원, ROTC임관",,,,
41,건축공학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
42,데이터경영산업공학과,기존·표준화 자격요건 모두 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,없음,,,"2026학년도 : 기존자격 및 표준화 자격 모두 진행 함, 학생 선택에 따름"
42,데이터경영산업공학과,기존·표준화 자격요건 모두 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,"자격증(점수 합산제), 외국어",,,,
42,데이터경영산업공학과,기존·표준화 자격요건 모두 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,취업,,,,
42,데이터경영산업공학과,기존·표준화 자격요건 모두 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,필수,"봉사 60H, 비교과 15회",,,,
43,IT기계공학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,논문,,필수,,
43,IT기계공학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
43,IT기계공학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
